,0,1,2,3,4,5,6
0,204.94142,203.63283,192.96039,198.74677,194.50334,191.50922,191.63667
1,205.09544,202.7879,193.21927,197.39693,193.6188,193.2774,190.32123
2,207.5206,205.07492,193.83159,199.3462,194.93697,193.89351,192.73608
3,199.92175,196.46637,191.93643,189.97287,189.05283,190.78859,181.85764
4,194.26237,191.22195,186.5007,184.42134,184.04602,183.99161,178.39926
5,191.41443,188.28423,182.63284,181.6832,180.54367,180.44466,177.50766
6,184.27676,181.11513,178.51382,174.35275,174.46599,175.9639,170.65646
7,187.33093,184.7537,176.09029,179.19263,176.10316,174.42703,178.85628
8,187.92574,184.94812,177.49046,179.97525,176.56668,176.82706,178.97514
9,181.11983,178.38374,175.99652,173.00873,172.10359,173.78772,170.85136
10,171.84453,169.52544,171.1252,164.24182,164.6934,166.54414,162.28398
11,161.14784,159.10815,164.49907,154.42143,155.05492,157.99591,153.10886
12,143.35202,141.07903,154.48466,136.5474,138.87402,146.111,134.67093
13,135.9841,135.11719,143.57048,132.36716,132.68805,135.2388,133.92522
14,129.41063,127.68314,137.03067,127.03653,126.280914,130.54689,128.75798
15,112.765144,110.145065,127.22404,108.61824,111.05691,121.57033,107.596504
16,104.246155,102.192856,114.88635,102.082535,104.84894,109.84776,102.08186
17,85.43654,81.258026,103.68736,81.25455,86.430374,99.77765,76.78943
18,73.31416,69.76086,88.359055,70.04154,77.7518,85.56012,64.85698
19,75.210236,70.9162,81.34056,76.02345,81.46811,81.449524,70.50218
20,74.52062,67.74982,78.935875,74.745155,80.93216,81.29483,68.38236
21,67.04061,58.991096,74.52496,64.46823,74.37887,77.039536,57.737984
22,51.849236,44.18312,67.336365,44.541977,59.17897,67.182724,37.150093
23,44.22454,38.954124,58.896812,35.524506,52.954247,56.007347,28.95121
24,32.188934,27.058853,50.535065,16.43711,38.28135,44.916252,10.692795
25,21.176239,18.025589,38.474304,-4.406479,23.468086,32.860344,-7.9838715
26,11.284973,13.105972,26.19458,-25.261185,9.483826,21.748077,-24.70575
27,-0.16441345,8.18335,13.202774,-50.649002,-6.9377594,8.844772,-43.006607
28,-1.1079407,15.740952,7.281784,-56.284317,-7.6602783,-3.7312164,-41.99852
29,3.0946655,22.964806,8.443192,-49.17154,0.24116516,-11.362503,-33.109116
30,10.095688,27.97683,11.492371,-33.84723,14.592384,-11.932587,-20.00801
31,12.957733,23.374588,13.974808,-29.979004,19.459885,-9.60379,-15.249924
32,7.1718597,10.495773,11.65892,-45.892365,7.9765167,-10.724731,-26.377945
33,14.315079,14.624863,19.25698,-34.58014,14.898148,-11.626938,-13.754944
34,11.725739,5.0102234,18.727211,-44.031296,7.863022,-14.223633,-16.2164
35,10.006958,-1.6320648,15.9251175,-54.06755,-0.07519531,-18.414825,-19.873245
36,-0.19737244,-17.943466,8.302048,-88.446655,-27.081467,-26.83812,-41.52983
37,-8.346069,-23.780914,2.219986,-119.31732,-51.347122,-38.142624,-58.071365
38,-2.8947449,-10.968323,7.3571625,-116.45102,-50.16066,-49.133774,-43.95131
39,-2.3016052,-12.551422,1.9812164,-118.6615,-49.341293,-59.86406,-35.131683
40,-21.83345,-43.598114,-19.258606,-178.37927,-91.29471,-72.15294,-74.474976
41,-19.859985,-33.708557,-9.767319,-185.2673,-94.16501,-80.47945,-70.64676
42,-21.003845,-27.582535,-7.04895,-176.51364,-83.17114,-94.75012,-51.418396
43,-30.309113,-39.372253,-27.807022,-185.8866,-81.06476,-109.40785,-55.55179
44,-46.602524,-60.486084,-40.20491,-229.34671,-105.43848,-120.926544,-90.359955
45,-64.98657,-67.8212,-31.859146,-254.71579,-110.109924,-130.32932,-112.274124
46,-89.29611,-65.94183,-39.16313,-255.0404,-92.142075,-152.42892,-117.505554
47,-105.38725,-50.42772,-67.5766,-243.56711,-65.697876,-174.93835,-119.11508
48,-121.7897,-44.76863,-81.28235,-262.2124,-57.71515,-187.45084,-142.87708
49,-169.73254,-67.43413,-73.77995,-323.46863,-61.106125,-196.82263,-208.13412
50,-217.65433,-53.865738,-75.90541,-318.4209,-11.563385,-210.68073,-237.69516
51,-270.51028,-49.038406,-115.89862,-369.6047,-21.577637,-251.80353,-302.64175
