,0,1,2,3,4,5,6
0,-0.7534777,-0.7516454,-0.76680267,-0.67429674,-0.7438395,-0.7316512,-0.7277734
1,-0.7181813,-0.6652132,-0.73415315,-0.6329547,-0.6971397,-0.690105,-0.69934887
2,-0.6755135,-0.58845997,-0.68710476,-0.5872436,-0.65063065,-0.6442232,-0.6599602
3,-0.5946705,-0.4522507,-0.61652696,-0.49671197,-0.5664698,-0.5695514,-0.5929477
4,-0.5727033,-0.47327346,-0.5638731,-0.4833154,-0.56125677,-0.54187655,-0.5580368
5,-0.56198174,-0.4887472,-0.5533666,-0.4901957,-0.5646773,-0.5318471,-0.5513266
6,-0.5188741,-0.43897182,-0.5267174,-0.45180643,-0.52355736,-0.4987318,-0.52055794
7,-0.53716123,-0.5076822,-0.5240656,-0.48574108,-0.5491624,-0.5121488,-0.5256555
8,-0.5015203,-0.43542352,-0.5163823,-0.45457506,-0.50492203,-0.48891467,-0.5077719
9,-0.5025711,-0.47329634,-0.49839655,-0.4612772,-0.50993216,-0.48780745,-0.49763688
10,-0.5176452,-0.5213528,-0.514037,-0.49286056,-0.5325518,-0.5048944,-0.51262647
11,-0.5061874,-0.49993905,-0.52017474,-0.48728746,-0.5157712,-0.5025916,-0.510389
12,-0.51467615,-0.53109133,-0.5224818,-0.50168216,-0.52524817,-0.51174337,-0.5143477
13,-0.5586935,-0.6192889,-0.55865854,-0.5642388,-0.5751054,-0.5525262,-0.55080163
14,-0.5353796,-0.5445215,-0.5699364,-0.5399053,-0.5367111,-0.54333675,-0.54711837
15,-0.49207425,-0.45783505,-0.527857,-0.4773643,-0.4793147,-0.5058488,-0.5055747
16,-0.49288887,-0.48138893,-0.5054016,-0.47550857,-0.48789558,-0.500861,-0.4948775
17,-0.4346625,-0.3632249,-0.47091645,-0.4059351,-0.42207867,-0.45363578,-0.45247716
18,-0.36479977,-0.22959486,-0.39233717,-0.3111753,-0.33910832,-0.38209254,-0.37764856
19,-0.28371215,-0.09698727,-0.29556438,-0.20714499,-0.25452247,-0.29672828,-0.28786004
20,-0.19170563,0.033979125,-0.18823715,-0.095731966,-0.16612309,-0.20075992,-0.1861365
21,-0.10129099,0.13151635,-0.08220924,0.007048836,-0.09185435,-0.10802033,-0.088388525
22,-0.050765693,0.14930795,-0.012201915,0.05635696,-0.065036096,-0.051466137,-0.029903173
23,-0.04625703,0.08746203,0.008101596,0.046186805,-0.08733205,-0.04028148,-0.021274097
24,-0.007946783,0.10604139,0.029087795,0.070307024,-0.060617752,-0.012880852,0.007656848
25,0.033364344,0.13373247,0.061778985,0.10551534,-0.026146548,0.020413699,0.045198955
26,0.095453866,0.21479127,0.110925786,0.16569947,0.036595523,0.07236132,0.10821828
27,0.09313719,0.17017594,0.1327753,0.16323654,0.022350617,0.079376005,0.115073964
28,0.12209938,0.19933389,0.14698078,0.1808638,0.04720045,0.09895864,0.14200205
29,0.20144354,0.31624097,0.20896831,0.26117244,0.13011977,0.16411796,0.22557417
30,0.25677806,0.3751556,0.27816612,0.32711625,0.17851987,0.22130615,0.29098302
31,0.36896002,0.5323568,0.378634,0.44379348,0.28940642,0.31655234,0.4095529
32,0.45459598,0.62195903,0.4828541,0.54382175,0.36088967,0.40241587,0.5046518
33,0.5387692,0.70630723,0.5766495,0.63406736,0.4303606,0.48227787,0.5918239
34,0.5828517,0.7242005,0.6380998,0.68162614,0.45617762,0.5317919,0.64056283
35,0.6723207,0.8250727,0.7181074,0.7639836,0.5383107,0.6015437,0.73440266
36,0.7965626,0.96931773,0.8302983,0.88299406,0.6518652,0.69330126,0.8550994
37,0.8993008,1.0805632,0.93200725,0.9901816,0.73681843,0.76934993,0.9536193
38,0.940826,1.072725,0.9938943,1.0428255,0.748138,0.8172754,0.9862242
39,1.0025059,1.1271074,1.0365909,1.0983335,0.79728466,0.85572207,1.0430374
40,1.0260756,1.1154598,1.0636189,1.1288483,0.80093545,0.87982446,1.0631965
41,1.0491935,1.110296,1.0819443,1.1525334,0.81236714,0.8995787,1.0827167
42,1.04065,1.0598328,1.076457,1.1448579,0.79233086,0.89722294,1.0724548
43,1.0991837,1.1431135,1.0992495,1.1957319,0.8527234,0.9226142,1.1314013
44,1.0691085,1.0552715,1.1032763,1.1819346,0.8073998,0.9262343,1.0930117
45,1.0552585,1.0154872,1.0823455,1.1559274,0.8013055,0.9148223,1.0792173
46,1.0750757,1.030097,1.0806265,1.165176,0.8273972,0.9216995,1.0999049
47,1.1155162,1.0738285,1.1124862,1.204104,0.8738497,0.9557281,1.1363704
48,1.2236542,1.2405322,1.1966662,1.3120567,0.9934431,1.0336233,1.2320801
49,1.2855458,1.307423,1.2859001,1.3969831,1.049584,1.1132271,1.2771848
50,1.3236971,1.3321985,1.3424914,1.4434156,1.0885472,1.1688741,1.302693
51,1.3921312,1.4123697,1.4032401,1.5101628,1.1687214,1.232858,1.3595799
52,1.5207944,1.6005005,1.5148567,1.6445321,1.3165979,1.3412349,1.4703339
53,1.5727824,1.6297197,1.6135832,1.7251679,1.3661695,1.4378469,1.5009346
54,1.5087726,1.4911782,1.6089228,1.6658608,1.3100352,1.4499645,1.4317869
55,1.4824045,1.4490571,1.562067,1.608498,1.3204162,1.4356967,1.4162533
56,1.4135411,1.3334429,1.5022805,1.5262393,1.2756006,1.4080403,1.3667525
57,1.3248831,1.2069662,1.4099095,1.4096636,1.2160697,1.3541234,1.302213
58,1.2541398,1.121846,1.3134623,1.3082402,1.1714103,1.2969785,1.2507974
59,1.1113667,0.89245903,1.1736212,1.1379378,1.022232,1.1901222,1.1241577
60,1.0388025,0.80859023,1.0142331,0.9959562,0.95411986,1.0768886,1.0443698
61,0.99500877,0.75403607,0.9149523,0.92115057,0.90049165,0.9920794,0.98607665
62,0.9112833,0.6261003,0.81065947,0.8079351,0.80094504,0.89681244,0.8924728
63,0.7636686,0.38729557,0.6483562,0.6085383,0.6297777,0.75166446,0.7425906
64,0.7143896,0.34447634,0.48531008,0.48408753,0.56206095,0.6262496,0.6483096
65,0.7005471,0.34692997,0.4204474,0.4590348,0.53129894,0.55491805,0.59599745
66,0.70751745,0.39634144,0.40249178,0.47071397,0.5277467,0.520437,0.57379055
67,0.7481978,0.50374013,0.43253413,0.5329419,0.56217784,0.52909917,0.5882728
68,0.7493371,0.5082437,0.46336925,0.55816543,0.5477611,0.5358008,0.5780404
69,0.7848413,0.61063755,0.49146032,0.6088279,0.5849456,0.55327815,0.60018027
70,0.8564334,0.751102,0.56871897,0.7149715,0.6593643,0.61121595,0.66153187
71,0.926048,0.8799947,0.6674192,0.8235866,0.7333428,0.68632025,0.7337143
72,0.98603594,0.9779195,0.76250523,0.9157978,0.79516274,0.7621638,0.7988642
