,0,1,2,3,4,5,6
0,903499.44,41152.758,344875.47,718414.1,315499.66,156218.4,-22644.898
1,903990.2,35892.9,355015.06,702977.4,298702.34,162880.16,2852.9766
2,834329.0,15892.242,321032.56,640962.56,275039.9,143318.62,2255.6484
3,721434.06,-25930.64,266523.6,529385.6,229241.28,94190.04,-7234.6797
4,593249.8,-52542.297,199883.53,394082.25,191533.72,40444.4,-14798.422
5,511824.6,-66954.08,157688.25,317930.9,160918.56,13327.477,-12880.461
6,444167.9,-73336.49,112312.93,260195.69,128504.13,-3667.211,-12988.531
7,358978.9,-83007.02,55726.695,196752.31,96832.086,-24141.406,-10828.594
8,286281.72,-83959.875,8879.305,140042.9,69762.4,-35730.516,-9470.75
9,217888.5,-73828.24,-30100.758,86201.32,42293.883,-41450.254,-12624.711
10,151752.31,-60916.906,-61861.8,41255.54,11009.891,-43079.066,-17193.945
11,104826.38,-46987.277,-79144.17,9399.031,-13281.805,-42203.258,-22938.445
12,69896.305,-40602.992,-92569.734,-9378.141,-32063.383,-42555.74,-32050.062
13,35853.18,-34572.902,-96994.12,-28169.133,-52348.223,-46117.312,-37233.848
14,16103.3125,-30963.953,-94355.27,-39271.72,-65634.27,-51801.258,-41415.89
15,-1390.0547,-30927.074,-96593.664,-46700.6,-76562.46,-55865.668,-48491.273
16,-14984.484,-31746.043,-90423.46,-50651.766,-83539.53,-56580.566,-47583.7
17,-29110.602,-28438.602,-85446.25,-54173.83,-90357.04,-56608.97,-50828.96
18,-40739.812,-28450.094,-82968.85,-57339.438,-96741.0,-58690.15,-54240.35
19,-48551.883,-30201.742,-85783.45,-60363.094,-101592.91,-61858.406,-59156.312
20,-54550.742,-33763.836,-90120.6,-62886.234,-105343.82,-66637.08,-63299.184
21,-52760.76,-39062.74,-93070.1,-61580.844,-104516.22,-69579.516,-62393.062
22,-40154.992,-42099.355,-90488.23,-54807.535,-97328.02,-67666.914,-54816.914
23,-33146.598,-43921.676,-97899.43,-52914.715,-95695.85,-68647.59,-59687.94
24,-25447.14,-56785.863,-108972.18,-48971.668,-95173.23,-75877.06,-63077.875
25,-14502.219,-67870.83,-112772.2,-44193.766,-89676.95,-81812.734,-59832.07
26,603.9375,-72624.03,-109091.13,-37026.992,-79628.72,-82129.53,-54132.363
27,9187.086,-74667.58,-108394.42,-34022.797,-74203.88,-82719.11,-55930.402
28,14373.719,-81443.07,-110575.28,-31670.559,-71662.45,-85416.97,-57160.508
29,9934.859,-93204.125,-124732.64,-33741.902,-75187.17,-95003.984,-67013.66
30,15733.773,-112098.81,-133296.67,-30745.355,-71981.484,-105169.28,-67088.875
31,27032.117,-123592.03,-137064.66,-28634.188,-63797.562,-113365.375,-70560.05
32,33523.125,-133673.31,-137130.78,-27747.922,-57536.613,-117132.37,-73805.64
33,31917.172,-136572.5,-134495.56,-31844.895,-56605.656,-118437.81,-75188.21
34,27720.133,-133327.25,-126556.17,-34337.76,-57458.95,-114354.51,-71377.61
35,29773.812,-124442.33,-113068.484,-32174.45,-54981.695,-103859.17,-64677.008
36,31844.648,-113928.62,-101842.6,-28856.164,-53423.543,-92354.625,-59793.484
37,23708.14,-107089.52,-100553.5,-30539.492,-58883.11,-87026.92,-60180.906
38,10334.242,-102720.82,-101227.59,-35637.652,-66486.69,-84816.09,-60465.086
39,3847.9922,-94487.24,-94553.13,-38699.074,-67789.69,-79246.086,-56762.75
40,-11389.664,-83210.836,-94383.12,-46626.8,-72275.27,-72894.305,-61267.883
41,-24580.469,-76221.66,-94524.31,-53023.36,-76633.96,-67591.66,-62491.5
42,-32594.371,-70607.99,-94086.516,-57174.656,-77954.984,-63942.957,-63231.836
43,-40217.473,-66275.3,-94838.4,-61032.8,-79084.73,-61260.37,-64960.223
44,-44709.08,-62688.703,-91857.47,-63082.395,-78267.73,-57847.598,-63216.254
45,-47889.953,-58330.297,-89002.53,-64210.57,-76665.88,-53954.535,-62075.246
46,-56387.492,-55196.562,-88093.375,-68014.87,-77822.086,-53144.89,-64258.605
47,-59513.86,-54445.66,-84134.02,-68704.5,-76739.09,-52640.9,-62618.203
48,-58447.62,-52767.27,-78175.6,-66736.945,-73381.836,-50380.844,-58967.39
49,-59577.38,-51130.957,-74978.56,-66497.805,-71982.5,-49939.113,-58536.336
50,-58523.254,-50496.777,-70671.92,-65076.19,-70296.03,-49619.7,-56250.96
51,-57683.477,-49900.01,-66771.22,-63657.992,-68384.84,-49656.96,-54712.523
52,-58445.754,-51542.934,-63560.465,-63108.04,-67243.266,-52433.707,-54951.562
53,-58220.156,-53374.625,-60956.03,-62324.707,-66118.86,-54789.84,-54875.3
54,-59317.93,-55111.055,-60576.06,-62560.723,-65956.08,-57445.3,-56327.734
55,-60715.715,-57424.06,-61022.2,-62949.684,-66274.94,-60123.523,-58066.633
56,-62695.156,-60466.594,-62122.16,-63602.477,-66868.72,-62712.527,-60347.293
57,-66302.04,-63451.668,-64674.31,-65746.17,-68611.67,-65855.195,-64016.79
58,-68737.33,-66010.016,-66318.164,-67447.305,-70220.336,-68145.15,-66370.95
59,-71437.234,-67413.77,-68638.27,-69437.04,-72077.57,-69901.59,-68703.586
60,-74649.51,-68992.23,-71652.65,-71883.93,-74503.66,-72133.66,-71486.83
61,-80109.74,-71373.92,-76943.445,-76182.516,-78501.945,-75870.44,-76426.72
62,-83375.19,-74319.42,-80521.125,-78833.79,-81689.19,-78668.07,-79267.36
63,-90651.28,-78318.836,-87563.89,-84613.9,-87109.49,-83724.625,-85974.875
64,-95002.03,-83265.64,-92266.586,-88275.484,-91412.016,-88010.02,-89978.72
65,-97626.46,-87360.79,-95183.02,-90512.82,-94162.79,-90931.266,-92628.54
66,-97781.98,-89913.234,-95722.31,-90917.266,-95079.1,-92023.586,-93042.13
67,-97388.45,-91090.49,-95692.71,-90958.25,-95416.39,-92158.95,-92934.05
68,-99888.21,-92793.445,-98159.08,-93593.125,-97799.25,-94015.52,-95529.92
69,-99325.1,-94362.25,-98326.14,-93759.44,-98363.61,-94633.47,-95500.4
70,-97282.2,-94557.62,-96998.375,-92546.58,-97392.984,-93587.46,-94157.484
71,-95259.18,-93838.96,-95442.71,-91441.21,-96182.67,-92089.57,-92737.02
72,-92903.414,-92687.56,-93630.86,-90034.36,-94716.945,-90269.766,-90927.22
73,-92880.21,-92089.484,-93868.32,-90456.234,-94699.836,-89778.25,-91119.06
74,-90743.45,-91492.28,-92525.914,-88981.31,-93478.18,-88427.97,-89424.26
75,-92330.58,-91489.836,-94108.28,-90528.336,-94270.68,-88977.67,-91032.945
76,-93299.94,-92551.234,-95665.03,-91527.99,-95265.75,-89899.67,-92038.66
77,-94483.484,-93897.95,-97291.125,-92598.75,-96182.58,-90995.61,-93317.14
78,-95269.4,-95179.61,-98294.03,-93438.34,-96779.44,-92027.89,-94272.23
79,-94807.09,-95816.48,-98063.836,-93305.56,-96476.71,-92198.32,-94133.93
80,-94229.96,-95731.01,-97337.52,-93185.805,-95853.02,-92121.98,-93908.86
81,-96127.71,-96380.89,-98622.914,-95054.1,-97037.1,-93575.75,-95727.914
82,-96004.234,-97085.48,-98480.76,-95298.18,-97192.48,-94427.945,-95969.945
83,-95935.15,-97194.86,-98093.89,-95517.26,-97015.516,-94871.49,-96274.18
84,-95771.15,-97108.63,-97607.086,-95652.52,-96812.5,-95164.75,-96386.03
85,-98248.29,-98093.94,-99407.82,-97904.3,-98574.266,-97121.59,-98657.8
86,-95558.14,-97659.45,-97132.06,-95918.78,-96893.8,-96334.52,-96844.06
87,-95012.914,-96642.87,-96108.39,-95582.45,-96028.99,-95728.77,-96444.23
88,-92857.2,-95274.79,-93868.28,-93937.984,-94340.18,-94535.945,-94687.766
89,-91029.26,-93623.14,-91817.836,-92444.99,-92632.0,-93158.55,-93064.77
90,-87964.086,-91456.1,-88751.336,-89903.36,-90081.36,-90943.57,-90345.375
91,-85709.12,-89254.73,-86374.37,-87924.38,-87900.586,-88797.13,-88048.766
92,-83873.805,-87430.87,-84461.16,-86278.91,-86115.83,-87124.86,-86145.13
93,-83588.164,-86293.01,-84020.195,-85867.305,-85455.34,-86411.375,-85578.48
94,-80291.375,-84454.85,-81005.14,-83119.99,-83007.45,-84124.83,-82636.52
95,-79134.664,-82660.95,-79672.08,-81943.26,-81443.625,-82546.336,-81226.414
96,-77271.766,-81010.61,-77864.67,-80362.79,-79806.14,-80890.13,-79330.52
97,-75202.19,-79232.18,-75814.91,-78600.59,-77953.445,-79050.875,-77267.55
98,-75105.93,-78076.11,-75565.42,-78374.69,-77306.09,-78372.984,-76877.63
99,-73990.33,-77044.75,-74532.64,-77484.59,-76396.63,-77371.64,-75724.01
100,-73745.016,-76206.87,-74255.12,-77125.15,-75869.36,-76751.25,-75271.984
101,-74923.44,-76219.48,-75317.9,-77796.57,-76449.18,-77310.81,-76131.24
102,-76371.64,-76906.21,-76691.445,-78724.375,-77530.164,-78419.24,-77373.2
103,-78453.48,-77957.97,-78689.734,-80138.06,-79091.91,-79869.56,-79161.95
104,-81076.695,-79653.62,-81194.32,-82026.44,-81198.87,-81934.22,-81540.57
105,-82130.17,-81045.77,-82325.625,-82775.734,-82410.5,-83069.91,-82577.37
106,-81436.81,-81446.43,-81741.62,-82148.75,-82219.14,-82827.33,-82016.54
107,-80049.08,-80999.18,-80362.42,-80934.516,-81281.2,-81858.03,-80731.63
108,-77608.234,-79798.31,-77940.77,-78966.1,-79559.62,-80104.375,-78484.59
109,-73056.88,-77476.25,-73428.39,-75381.24,-76385.64,-76873.016,-74296.625
110,-69134.836,-74712.28,-69306.2,-72224.03,-73221.67,-73737.734,-70527.14
111,-66700.47,-72497.91,-66670.41,-70223.31,-70973.46,-71795.1,-68190.7
112,-64836.73,-70923.11,-64683.992,-68520.484,-69212.16,-70496.3,-66412.164
113,-62803.152,-69450.11,-62587.86,-66687.12,-67392.766,-68964.13,-64511.086
114,-60869.14,-68012.45,-60643.195,-64971.008,-65467.703,-67175.836,-62675.055
115,-62316.188,-67648.39,-61744.094,-65737.375,-65296.18,-67465.234,-63851.996
116,-62947.56,-67472.625,-61866.504,-65908.5,-65609.56,-67590.48,-64135.266
117,-61326.254,-66716.2,-59932.57,-64233.72,-64664.62,-66177.15,-62210.336
118,-61011.59,-65680.836,-59319.285,-63272.484,-63924.426,-65015.816,-61338.938
119,-60144.5,-64695.164,-58154.703,-62022.4,-63152.062,-63537.3,-59923.336
120,-61870.438,-64339.273,-59372.973,-62540.395,-63707.97,-63659.47,-60966.934
121,-62395.656,-64338.188,-59387.254,-62399.656,-64262.973,-63715.2,-60917.254
122,-65285.98,-64723.516,-61818.64,-64077.32,-65826.1,-64992.805,-63193.48
123,-67595.945,-65519.812,-63807.227,-65536.44,-67780.25,-66486.28,-64878.438
124,-67892.28,-66499.23,-63775.492,-65415.668,-68668.125,-67002.97,-64721.92
125,-66227.03,-66124.8,-61985.04,-63772.363,-68058.81,-65929.234,-62738.965
126,-63098.13,-64928.562,-59036.6,-61359.43,-65876.08,-63065.44,-59573.824
127,-61934.58,-63456.105,-58017.47,-60368.203,-64497.54,-61360.254,-58433.88
128,-61449.645,-62242.64,-57358.55,-59883.04,-63975.65,-60432.188,-57753.426
129,-61416.332,-61406.285,-57049.79,-59657.047,-63822.297,-59915.75,-57481.016
130,-63006.047,-60802.44,-58407.55,-60612.78,-64675.36,-60507.324,-58791.22
131,-62831.723,-60127.53,-58200.0,-60349.266,-65171.316,-60439.066,-58221.445
132,-62000.734,-58939.465,-57423.51,-59448.04,-65114.285,-59445.83,-56834.055
133,-61999.45,-57140.312,-57665.92,-59337.87,-65437.805,-58681.676,-56367.27
134,-62449.926,-55335.137,-58506.293,-59872.7,-66313.44,-58264.242,-56373.684
135,-61283.293,-53377.773,-58008.88,-59327.86,-66589.01,-56977.45,-54776.055
136,-63821.004,-51838.637,-60997.945,-61446.78,-68475.81,-57594.465,-57071.59
137,-64698.08,-51559.02,-62542.605,-62505.94,-70035.02,-58165.945,-57609.215
138,-63460.656,-50948.316,-62097.23,-61706.25,-70155.45,-57042.17,-56030.28
139,-64358.22,-50454.37,-63117.81,-62179.21,-70799.4,-56897.742,-56804.062
140,-63727.57,-50508.914,-62387.496,-61687.84,-70891.625,-56806.87,-55969.547
141,-62357.477,-49829.285,-60995.1,-60778.59,-70442.22,-55935.918,-54583.527
142,-61770.895,-48720.39,-60493.438,-60583.137,-70250.07,-55244.082,-54178.066
143,-61375.496,-47897.69,-60283.39,-60614.867,-70155.414,-54942.99,-53966.902
144,-62748.89,-47691.992,-61882.73,-61838.258,-70874.45,-55676.92,-55536.246
145,-61845.285,-47184.156,-61931.816,-61693.49,-70890.21,-55007.902,-54642.613
146,-61558.22,-46206.594,-62467.65,-61741.207,-70934.36,-54237.98,-54451.8
147,-62930.715,-46218.727,-64057.305,-62784.836,-71669.41,-54864.945,-55865.152
148,-66588.53,-47512.97,-67765.29,-65465.227,-73890.56,-57348.754,-59480.535
149,-68410.81,-49943.613,-69721.35,-66728.42,-75294.7,-59488.92,-61036.6
150,-69892.93,-51551.348,-71778.7,-67781.61,-76442.25,-60523.51,-62423.9
151,-69075.6,-52584.75,-71484.77,-67229.29,-76236.62,-60049.105,-61546.93
152,-67629.97,-51846.48,-71107.91,-66451.75,-75822.586,-58447.758,-60360.34
153,-64506.375,-50278.15,-68924.195,-64577.97,-74539.97,-55801.562,-57493.652
154,-63604.58,-48298.316,-68186.37,-64411.82,-74238.92,-54432.35,-57086.324
155,-58882.297,-46689.668,-63121.39,-61338.6,-71785.94,-51790.33,-52302.562
156,-55099.375,-43900.445,-58362.766,-58623.95,-68908.62,-48794.37,-48707.5
157,-56209.297,-41568.004,-58657.23,-59858.336,-68807.766,-49038.215,-50319.742
158,-62787.58,-42486.54,-64882.812,-65143.5,-71971.516,-53761.53,-57328.273
159,-63863.242,-45683.89,-67009.92,-66285.016,-72826.234,-56166.414,-58147.29
160,-63225.773,-47239.605,-67590.45,-65374.477,-72096.35,-55598.074,-57388.2
161,-61636.133,-47623.516,-66329.68,-63511.71,-70570.28,-53661.094,-55474.57
162,-60196.395,-47519.797,-64007.793,-61676.668,-69243.25,-52283.293,-53645.062
163,-58617.195,-46798.695,-61191.402,-60218.484,-68242.88,-51211.527,-51850.64
164,-55943.555,-45212.133,-57573.09,-58494.6,-66901.33,-49610.89,-49200.926
165,-51059.582,-42707.117,-52118.285,-55290.535,-64361.625,-46774.14,-44484.11
166,-48646.883,-38633.41,-49783.34,-54149.008,-62918.086,-44313.78,-42512.605
167,-47586.844,-35811.53,-49079.266,-53913.945,-62263.85,-43271.875,-41832.066
168,-44325.457,-34743.934,-45914.082,-51350.652,-60331.234,-41461.93,-38403.594
169,-47150.34,-33837.004,-48496.895,-52508.0,-60805.758,-42309.156,-41369.805
170,-53974.84,-36665.57,-54148.793,-56370.473,-63840.01,-47450.13,-47981.996
171,-58971.605,-41734.395,-57972.85,-59028.29,-66427.21,-51600.1,-52151.773
172,-63026.48,-45887.164,-60858.598,-60981.047,-68646.23,-54402.746,-55116.973
173,-67734.25,-48509.984,-64968.688,-63704.754,-71642.47,-57515.58,-58989.22
174,-72333.69,-51040.72,-69785.09,-66961.53,-75372.83,-61019.906,-63068.438
175,-72182.3,-53583.348,-70145.76,-66468.58,-76523.47,-61968.6,-62251.78
176,-74002.03,-54745.938,-71934.53,-67459.27,-78311.97,-63148.59,-64080.51
177,-75379.54,-55878.055,-73553.53,-68731.52,-80320.02,-64686.562,-65568.3
178,-76273.47,-56675.8,-75390.08,-69837.03,-82190.805,-65891.66,-66771.22
179,-71550.41,-56147.21,-72115.35,-66898.56,-80421.86,-63374.566,-62299.56
180,-66190.55,-52536.383,-68161.41,-63722.953,-77821.22,-58916.438,-57869.92
181,-59850.09,-47921.273,-62594.133,-60051.992,-74374.78,-53311.656,-52115.492
182,-57161.684,-42485.74,-60800.773,-59445.438,-72974.95,-49676.19,-50468.555
183,-56616.844,-38738.49,-61533.18,-60715.703,-72803.625,-48373.13,-50831.758
184,-55960.098,-36526.066,-62827.934,-62003.95,-72645.08,-47842.332,-50991.527
185,-52435.945,-35119.1,-60722.555,-60613.867,-70156.45,-45708.688,-47717.28
186,-52314.688,-33468.066,-61226.91,-60813.67,-68931.59,-44417.688,-47942.3
187,-52388.848,-32520.168,-62532.1,-61253.664,-68453.73,-43553.91,-48140.527
188,-56429.875,-31800.387,-69371.24,-64982.523,-70865.36,-45119.18,-53256.055
189,-56483.324,-33890.004,-72317.19,-65784.484,-71562.74,-46230.473,-53558.31
190,-55523.633,-35696.16,-72390.766,-65038.586,-71316.03,-46493.67,-52872.188
191,-56899.242,-36904.867,-72552.67,-65308.242,-72243.82,-47738.727,-54181.562
192,-58867.152,-39108.05,-72122.75,-65516.555,-73386.484,-49297.26,-55208.47
193,-62051.625,-41669.586,-72603.26,-66251.71,-74795.72,-51675.074,-57350.812
194,-64632.797,-44783.57,-72141.5,-66586.68,-75859.79,-54453.92,-58767.65
195,-66285.26,-47791.363,-70714.03,-66522.625,-76277.37,-57109.78,-59536.383
196,-70461.74,-50819.38,-72691.72,-68711.8,-77855.81,-60537.99,-63421.742
197,-75855.45,-55043.992,-76983.28,-72327.58,-80639.195,-65238.055,-68591.01
198,-76706.06,-59530.535,-77497.74,-72572.6,-81018.88,-67596.16,-69090.13
