,0,1,2,3,4,5,6
0,1584.1573,1125.8036,412.9662,814.59753,68.93787,897.4938,689.13525
1,1542.7772,1107.5426,405.3296,806.1029,52.08252,863.9669,666.3882
2,1521.1444,1096.8529,408.68237,804.2207,44.470825,834.56836,673.6594
3,1489.3082,1094.68,429.7296,821.53613,49.070312,825.18774,685.4341
4,1425.2365,1033.4164,444.5216,822.8556,61.33496,833.6715,673.8606
5,1398.6901,1003.2008,423.234,822.3987,42.491455,814.8047,678.65515
6,1375.8468,990.7821,402.67712,835.62854,38.789062,797.74146,674.64197
7,1352.6749,954.4072,402.55115,819.8899,54.033325,806.8855,661.3491
8,1371.8495,981.1522,404.34302,813.57153,52.740723,806.7334,671.2274
9,1323.8844,950.79395,432.77637,808.2943,95.36792,848.9873,637.568
10,1309.4591,944.8208,442.6245,780.9999,114.35364,848.88074,628.386
11,1304.4264,969.51245,435.7953,786.6444,135.24072,844.14343,613.3524
12,1264.8456,925.4009,446.70068,757.6251,188.61584,848.9911,583.4121
13,1268.8712,948.2096,449.82117,743.381,210.2832,820.14746,594.29297
14,1241.6964,949.34924,474.953,749.4469,269.96973,819.2117,590.29614
15,1281.5143,990.4591,486.06702,738.1389,287.6454,781.4585,627.22815
16,1244.1879,954.4331,494.32397,733.9607,309.71118,788.20593,608.5801
17,1230.7516,914.38416,474.9923,692.43933,282.276,752.93884,605.1084
18,1244.4354,932.004,431.34448,700.40295,234.49841,708.5846,609.94324
19,1291.5929,963.9348,415.62256,706.6653,211.5669,665.8971,643.6543
20,1292.9152,939.147,417.82166,704.91284,195.15039,670.9906,654.04456
21,1292.2399,924.0365,432.50098,709.5405,174.24304,685.1594,678.1626
22,1170.402,797.6084,414.5138,693.13916,149.36511,712.75146,606.0377
23,1071.5946,732.0891,395.2516,661.4093,117.32471,692.3618,550.3163
24,949.2804,686.8489,386.8463,656.04285,129.7804,685.07837,468.63513
25,887.8087,670.1666,366.92102,612.5499,137.02722,621.62305,422.57593
26,881.37244,695.5668,339.95752,595.01917,138.38892,553.4751,410.58777
27,841.22363,649.81165,343.80176,549.07117,174.6322,530.21313,385.74646
28,809.6382,600.0476,332.30505,498.0232,178.85535,506.88318,371.77026
29,811.4429,590.58997,298.7921,483.2351,169.7201,465.9203,375.29138
30,824.22864,585.1926,289.4513,478.06775,191.74597,444.47095,390.34314
31,815.3275,557.51074,299.8816,463.021,221.74231,453.95544,393.35303
32,828.454,574.8716,314.64038,462.32837,232.3081,455.76758,410.75366
33,838.20325,608.6747,338.7837,480.05518,248.30042,456.4369,429.11328
34,811.9332,597.3533,365.80115,477.03076,265.30945,461.7389,426.32263
35,741.1388,544.2141,379.78613,455.79907,266.04346,466.24353,395.49854
36,694.077,524.61707,371.91223,442.86194,245.97522,439.98584,375.73132
37,635.4596,492.6549,357.6527,430.2744,231.59485,405.94226,348.33105
38,591.2302,466.3247,356.29907,409.5808,225.8175,374.97607,335.5808
39,591.00183,480.25537,345.77393,402.80945,198.86816,332.44788,348.4364
40,600.9458,493.86084,354.24097,409.3723,193.94824,312.44067,375.60645
41,598.5128,482.96094,376.1433,412.11646,204.62927,321.24683,398.18115
42,594.5282,469.67615,382.25366,412.78955,198.12817,328.99377,411.70972
43,560.65845,435.43457,389.35156,412.17212,206.80005,348.2671,400.33057
44,535.70374,416.53406,387.5221,405.34045,208.18079,351.5985,386.6338
45,552.27527,460.01624,403.42212,424.79395,222.26514,354.72864,399.2052
46,536.45337,461.08752,427.6006,428.49414,254.15295,371.43958,391.3711
47,559.7362,499.96436,451.17456,435.9176,266.36438,372.21448,415.0807
48,578.5504,544.3308,493.61658,467.5056,303.27185,397.54773,441.73975
49,581.68665,561.2267,548.6024,492.12146,364.7871,441.71252,463.90222
50,581.8987,572.27783,584.0209,513.29065,410.60498,479.61145,477.98157
51,587.97046,594.10657,610.00635,535.2307,450.83777,508.333,489.00195
52,595.99036,614.563,618.7245,545.3175,461.69617,513.68945,496.34155
53,626.7742,657.44275,629.08057,564.067,463.06995,510.14856,520.98267
54,646.6261,674.6168,640.2654,580.35156,466.98645,514.57556,540.5165
55,677.97656,703.05676,656.1362,600.2528,468.47168,523.5869,571.1178
56,688.44775,710.98926,679.0879,624.3528,490.52466,554.9956,587.2173
57,697.8352,715.9971,689.95215,636.99695,498.47534,575.0918,597.6832
58,697.989,716.2152,693.9038,646.0585,502.443,592.6162,596.01636
59,701.54517,727.8878,701.3721,652.6725,508.90552,604.0311,597.15735
60,699.60754,736.3357,710.9608,657.787,521.1017,616.22107,593.43115
61,710.60376,754.3983,716.41077,661.9979,525.6189,618.9015,598.29236
62,716.49,759.7146,722.72876,669.47107,541.4531,628.2317,600.4225
63,724.1218,761.20447,729.38416,673.86365,563.2803,641.77295,602.9409
64,727.5624,760.37463,729.7136,674.5243,575.4564,651.40234,598.89856
65,713.9968,738.46216,720.76904,660.78735,576.10925,653.84534,579.4552
66,681.96716,699.4675,702.49475,630.9916,566.56506,647.27686,544.1012
67,678.527,697.68005,675.41736,609.64856,539.13416,617.7262,527.99585
68,629.17053,642.8229,653.2007,575.52563,531.032,603.3026,480.67822
69,635.57385,647.14417,629.1034,550.4404,508.0923,565.51306,475.24524
70,600.6218,611.4354,614.4486,533.6808,510.7782,554.63635,443.45825
71,576.7095,577.69824,594.8552,497.5072,499.3208,529.5502,421.23413
72,557.6079,559.46497,566.7738,477.5481,472.662,497.89514,401.9895
73,541.1207,536.303,539.02966,454.18225,444.7201,460.7765,387.35742
74,554.7822,543.89636,516.8082,446.12537,409.89148,422.10474,397.59912
75,526.79224,507.04688,512.37256,432.75195,402.10022,416.05872,385.44897
76,494.98987,461.64148,493.24365,402.85254,375.30945,399.6057,367.55603
77,480.76917,451.77075,472.32935,395.39893,344.1714,375.00806,361.05164
78,471.39038,449.66052,467.17004,394.35876,333.21985,359.115,360.9369
79,445.66443,420.58826,460.6952,380.50903,324.93787,350.00793,349.765
80,421.1178,394.43018,446.0028,361.6703,303.0996,333.5465,337.65576
81,390.2854,366.71973,431.66614,343.65198,286.35986,319.85425,318.57812
82,373.11157,355.47815,420.2865,329.35315,271.1167,301.62903,309.29932
83,348.97217,339.55383,419.34692,319.12537,272.01794,296.2937,297.99805
84,318.85608,311.25305,417.0382,301.40198,278.65588,294.18567,281.65344
85,300.92383,300.68372,414.57324,289.0879,285.375,291.36804,270.16638
86,273.24512,282.74878,410.86865,272.31433,293.31335,286.70898,249.06934
87,255.49524,271.8452,402.29358,254.65405,292.57043,272.54675,235.29932
88,251.09583,271.9077,394.0658,247.15417,291.17188,257.12048,231.91248
89,254.26929,276.28955,392.74817,246.38147,293.95056,247.45923,238.24707
90,232.92078,251.2207,393.0481,235.34924,302.70105,249.20361,228.35925
91,234.07874,253.3418,389.39026,231.86475,298.69275,243.13489,232.75024
92,226.1488,248.8313,388.25464,234.46228,300.85913,242.125,232.90564
93,176.32434,194.87622,381.09192,207.26184,306.87134,246.04663,201.34094
94,199.3086,226.79932,365.0503,208.92712,279.38574,222.74683,217.06506
95,159.4364,190.14392,361.54675,198.69531,286.87805,224.1925,194.27283
96,135.67249,161.87305,343.9879,168.2312,270.01953,207.93091,177.25195
97,106.31055,136.5935,323.70593,147.38623,252.14795,193.31897,155.70837
98,112.09485,144.76904,304.6776,141.60962,228.24634,168.27405,160.66003
99,136.70557,169.4292,302.96558,161.06396,223.21643,161.63855,186.8258
100,134.6311,158.11841,307.3119,165.5216,230.17737,170.75256,195.98682
101,169.80457,188.61353,308.29285,187.04077,220.54773,173.24548,230.7323
102,219.9956,239.60242,325.15283,236.31775,229.1322,192.00293,283.04175
103,230.6018,245.30615,350.13354,263.94824,256.70374,227.85669,307.031
104,267.19788,284.22107,366.91467,297.8224,271.59106,258.36987,342.74927
105,278.78918,302.45337,386.37427,324.00623,295.5542,291.2367,358.48218
106,270.2085,298.2909,396.7296,323.8307,313.14148,314.21765,351.32068
107,305.93518,350.27148,402.4796,347.36743,318.0216,326.099,375.71704
108,294.83484,342.58423,414.16772,352.88318,350.38757,352.05176,367.28223
109,300.85828,351.37646,412.92944,349.87292,360.81775,361.25708,365.6344
110,274.8224,319.25098,407.28723,332.1809,382.53943,373.43738,335.05872
111,257.35767,301.01526,391.15723,306.27612,384.89185,366.48755,306.5409
112,234.50818,279.313,374.06934,281.14148,386.81433,355.16028,274.7854
113,215.70447,263.46362,357.489,256.20825,381.4685,335.1432,248.97095
114,204.33972,249.6731,340.39124,238.64685,372.37915,312.82654,232.01147
115,201.21179,244.6388,328.8694,229.4043,362.1974,293.35034,225.37488
116,181.4884,219.1709,320.00916,212.73901,353.8224,277.35364,209.74475
117,151.59143,182.47815,305.2063,184.73242,338.28967,258.6527,184.72571
118,146.81433,179.2378,286.56653,172.4237,308.6433,233.67505,179.11365
119,151.16418,183.84619,276.19568,176.4768,289.18066,217.08228,186.95325
120,161.71472,190.51013,271.09607,185.46802,270.6255,206.7179,204.49438
121,184.16565,209.87952,273.20044,206.65955,257.93237,206.63818,234.22876
122,185.90076,203.76709,278.1394,217.79016,255.25891,216.09778,249.56592
123,188.09753,201.64465,281.7865,222.36353,246.23901,220.92603,260.55176
124,159.02197,169.09766,280.28662,206.73315,245.26575,228.58313,241.91199
125,120.244385,129.90588,266.83386,171.10168,232.74292,221.45874,206.45947
126,107.27905,125.88025,249.86353,150.77881,209.91614,203.02222,189.2074
127,105.74744,132.26782,242.42883,146.44702,197.06091,187.68884,187.04651
128,92.989746,118.98828,237.94885,135.29395,195.42688,182.01697,178.57715
129,100.00452,122.22034,229.8645,133.90735,192.87646,180.0028,181.95923
130,88.95984,103.840576,223.52844,126.651855,197.47803,180.43188,172.677
131,82.669556,92.42993,212.06079,116.931274,197.04346,178.15344,162.17786
132,80.42395,89.09985,198.64954,111.400635,194.71521,174.30225,153.61755
133,66.87915,75.077515,185.28015,97.90051,189.52612,165.91736,138.53821
134,53.142822,61.25586,166.1449,81.18152,175.5669,151.4397,123.67505
135,52.954712,60.838867,148.32556,75.763916,160.37708,138.14246,121.020996
136,50.447266,54.113525,136.18652,73.1958,151.42957,129.47571,120.02869
137,59.911743,58.4458,123.447266,78.114136,142.64844,125.63977,127.986694
138,68.296875,61.781494,115.36157,85.50342,134.63159,124.22864,138.37207
139,70.94678,58.962036,107.531494,88.27832,125.89282,124.353516,144.94348
140,72.97412,58.375977,104.59973,90.038086,118.98645,125.236206,150.1278
141,95.70947,82.34155,106.14368,108.71814,113.64783,129.13733,172.62354
142,109.52075,94.99158,115.77319,126.97571,120.03943,140.39148,191.49219
143,122.961426,107.47827,125.88696,141.73877,127.39441,153.19238,208.07996
144,126.48987,110.69971,134.38574,148.23962,137.16357,166.37256,213.17114
145,138.03162,124.65564,140.50574,157.7699,145.85571,178.11328,220.9242
146,128.77795,116.41321,146.03369,153.52173,157.672,187.21045,211.98816
147,143.03308,136.42993,149.4552,161.48218,160.11194,191.27185,220.35034
148,159.83704,157.22156,158.39294,179.21484,173.34485,201.93286,234.35657
149,180.27356,177.07788,166.43994,198.71448,189.61292,216.36292,250.68604
150,193.90698,187.03381,172.74976,212.90906,207.83044,231.89185,259.4336
151,204.85632,196.43774,174.04468,222.52075,221.07239,243.96436,263.67773
152,196.28882,186.2655,173.04407,217.59802,232.8042,250.71228,252.04639
153,184.06421,176.74524,167.50781,204.24902,234.37695,248.28796,235.75098
154,189.90027,188.64929,167.9685,206.37952,236.01233,245.1112,236.10901
155,153.52295,149.86963,171.7644,180.13318,243.96045,240.318,205.12305
156,120.76074,116.89282,160.29553,142.58594,232.52307,222.56934,169.59985
157,118.33545,119.99719,146.37512,131.30823,215.46704,202.68555,159.5918
158,103.28967,104.73938,140.65552,120.01758,209.91492,188.27869,147.18591
159,79.612915,77.51721,130.4375,96.14612,197.40845,172.04028,126.82349
160,48.073364,44.45764,116.234375,65.07446,176.76404,149.88367,100.2207
161,42.82849,40.82617,103.01453,53.911865,153.32568,128.56067,94.16052
